,job_title,company_name,company_location,job_description,date_posted
0,"Senior Data Scientist, Strategic Analytics",LendingTree,"Charlotte, NC 28203 (Dilworth area)","
4-5+ years working as a data scientist with a strong experience applying various machine learning and statistical modeling approaches to solve problems.
",2021-12-03
1,[],Brighthouse Financial,"Charlotte, NC 28277 (Piper Glen Estates area)•Remote","
Build complex advanced-level machine learning and advanced analytics models.
Conduct data analytics with the relevant programming / statistical package (such as…
",2021-12-04
2,Lead Data Scientist,Riya Software Consulting,"Charlotte, NC 28206 (Greenville area)","
Ability to apply relevant machine learning and data modelling techniques used in supervised problems (e.g. support vector machines, random forests, gradient…
",2021-12-05
3,Data Mining Analyst-salary with sizable lead incentives,Linden Thomas & Company,"Charlotte, NC 28202 (Downtown Charlotte area)","
Rapidly growing, nationally recognized private wealth management firm is looking for ambitious candidates to assist with firm's business development, data…
",2021-12-04
4,Data Scientist I,Bank of America,"Charlotte, NC 28202 (Third Ward area)+4 locations","
Collaborate with data architects, modelers and team members on project goals.
Research opportunities for data acquisition and new uses for existing data.
",2021-12-03
5,Investigative Data Scientist,Microsoft,"Charlotte, NC+1 location","
You will use that data to identify trends, exploits, and scope of non-compliant activity.
Engages in the peer review process, role-models a willingness to…
",2021-12-02
6,Data Scientist,Comcentric,"Charlotte, NC","
The primary purpose of this role is to use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware,…
",2021-12-07
7,Data Scientist - Forecasting,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)+5 locations","
Collaborate with other data scientists and data engineers to ensure that specifications are translated into flexible, scalable, and maintainable solutions.
",2021-12-02
8,Data Scientist (Remote),The Hartford,"Charlotte, NC•Remote","
2+ years of relevant experience in a data science or applied analytics role.
Experience with data science in an insurance environment.
",2021-11-07
9,Data Scientist/Consumer Behavior Modeler,Bank of America,"Charlotte, NC 28202 (First Ward area)+1 location","
Advanced degree in statistics or related field, such as econometrics, engineering, applied mathematics, the applied sciences, or other heavily quantitative…
",2021-11-16
10,Senior Data Scientist,Credit Karma,"Charlotte, NC 28277 (Ballantyne East area)","
Be a strong contributor in our industry-first data science / machine learning platform for financial institutions, to enable certainty of approval for 100+…
",2021-11-08
11,Data Scientist,Sia Partners,"Charlotte, NC 28202 (Downtown Charlotte area)","
Use your data analytics and science expertise to derive valuable insights from datasets, build predictive models and machine-learning algorithms.
",2021-11-07
12,Data Scientist - Tryon Direct,Tryon Direct LLC,"Charlotte, NC 28211","
Prior experience with healthcare data (claims, EHR, pharmacy, benefits) and clinical metrics (quality, total cost of care, clinical episodes, shared savings).
",2021-11-25
13,Senior Data Scientist,Vanguard,"Charlotte, NC+1 location","
Mentors and develops junior data scientists and analysts.
Leads and executes deep dive diagnostic, predictive, and prescriptive analytics to support data-driven…
",2021-11-07
14,Machine Learning Engineer,Microsoft,"Charlotte, NC","
You will support and manage machine learning models, production pipeline, experimentation platform across Data Science teams within and outside MCDS.
",2021-12-07
15,"Senior Data Scientist, Strategic Analytics",LendingTree,"Charlotte, NC 28203 (Dilworth area)","
4-5+ years working as a data scientist with a strong experience applying various machine learning and statistical modeling approaches to solve problems.
",2021-12-03
16,Lead Data Scientist,Riya Software Consulting,"Charlotte, NC 28206 (Greenville area)","
Ability to apply relevant machine learning and data modelling techniques used in supervised problems (e.g. support vector machines, random forests, gradient…
",2021-12-05
17,[],Brighthouse Financial,"Charlotte, NC 28277 (Piper Glen Estates area)•Remote","
Build complex advanced-level machine learning and advanced analytics models.
Conduct data analytics with the relevant programming / statistical package (such as…
",2021-12-04
18,Data Mining Analyst-salary with sizable lead incentives,Linden Thomas & Company,"Charlotte, NC 28202 (Downtown Charlotte area)","
Rapidly growing, nationally recognized private wealth management firm is looking for ambitious candidates to assist with firm's business development, data…
",2021-12-04
19,Senior Financial Data Analyst,PreciseSource,"Charlotte, NC•Remote","
Develop a broad knowledge of the data products and processes, including file structures and content, data delivery mechanisms, calculation platforms and…
",2021-12-02
20,Data Scientist I,Bank of America,"Charlotte, NC 28202 (Third Ward area)+4 locations","
Collaborate with data architects, modelers and team members on project goals.
Research opportunities for data acquisition and new uses for existing data.
",2021-12-03
21,Investigative Data Scientist,Microsoft,"Charlotte, NC+1 location","
You will use that data to identify trends, exploits, and scope of non-compliant activity.
Engages in the peer review process, role-models a willingness to…
",2021-12-02
22,Data Scientist,Comcentric,"Charlotte, NC","
The primary purpose of this role is to use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware,…
",2021-12-07
23,Data Scientist - Forecasting,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)+5 locations","
Collaborate with other data scientists and data engineers to ensure that specifications are translated into flexible, scalable, and maintainable solutions.
",2021-12-02
24,Data Scientist (Remote),The Hartford,"Charlotte, NC•Remote","
2+ years of relevant experience in a data science or applied analytics role.
Experience with data science in an insurance environment.
",2021-11-07
25,Data Scientist/Consumer Behavior Modeler,Bank of America,"Charlotte, NC 28202 (First Ward area)+1 location","
Advanced degree in statistics or related field, such as econometrics, engineering, applied mathematics, the applied sciences, or other heavily quantitative…
",2021-11-16
26,Senior Data Scientist,Credit Karma,"Charlotte, NC 28277 (Ballantyne East area)","
Be a strong contributor in our industry-first data science / machine learning platform for financial institutions, to enable certainty of approval for 100+…
",2021-11-08
27,Data Scientist,Sia Partners,"Charlotte, NC 28202 (Downtown Charlotte area)","
Use your data analytics and science expertise to derive valuable insights from datasets, build predictive models and machine-learning algorithms.
",2021-11-07
28,Data Scientist - Tryon Direct,Tryon Direct LLC,"Charlotte, NC 28211","
Prior experience with healthcare data (claims, EHR, pharmacy, benefits) and clinical metrics (quality, total cost of care, clinical episodes, shared savings).
",2021-11-25
29,Senior Data Scientist,Vanguard,"Charlotte, NC+1 location","
Mentors and develops junior data scientists and analysts.
Leads and executes deep dive diagnostic, predictive, and prescriptive analytics to support data-driven…
",2021-11-07
